base_port,complete,convergence_ms,coverage,data,fanout,gossip_wait,host,ihave_max_ids,mode,msg_id,overhead,peer_limit,peer_timeout,ping_interval,pow_k,pull_interval,reason,run_dir,seed_base,size,startup_wait,timestamp,topic,ttl
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,e0c275b8-9b0b-406c-9ea1-70e3feecdd3d,73,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N10_seed100,100,10,8.0,1772116091981,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,ed8838f5-a081-4104-8cc8-728db4bb5580,65,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N10_seed101,101,10,8.0,1772116115083,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,0a77610a-d381-48a1-b2f0-13d056a3667a,66,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N10_seed102,102,10,8.0,1772116138184,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,a8632917-b395-44d6-999e-9c36e9fce075,66,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N10_seed103,103,10,8.0,1772116161265,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,hybrid,27d8558c-8aa7-46fe-8930-0a2e5326213a,81,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N10_seed104,104,10,8.0,1772116184363,news,6
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,hybrid,4f9518f6-5be6-48d7-b8b2-41dcc49d6aad,300,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N20_seed100,100,20,8.0,1772116208626,news,6
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,a42091d6-dc56-4c2a-bc59-f8ccfbf179f3,270,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N20_seed101,101,20,8.0,1772116232881,news,6
9000,True,7,1.0,hello,15,14.0,127.0.0.1,32,hybrid,1f76ddf5-5ec9-44a0-9ee9-b6004177513e,272,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N20_seed102,102,20,8.0,1772116257136,news,6
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,a01b7a9e-bc97-41ee-b652-bd8decd24d83,297,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N20_seed103,103,20,8.0,1772116281390,news,6
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,hybrid,498d223d-7d74-4462-9c45-50b5eef6247a,285,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N20_seed104,104,20,8.0,1772116305636,news,6
9000,True,13,1.0,hello,15,14.0,127.0.0.1,32,hybrid,c71b0e53-a243-4398-b7f6-180dca7a10be,698,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N50_seed100,100,50,8.0,1772116333404,news,6
9000,True,15,1.0,hello,15,14.0,127.0.0.1,32,hybrid,d5712433-ed44-483d-8b86-97318180f76a,735,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N50_seed101,101,50,8.0,1772116361105,news,6
9000,True,20,1.0,hello,15,14.0,127.0.0.1,32,hybrid,9dfe3df0-5fef-4f81-852d-8581d478c128,770,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N50_seed102,102,50,8.0,1772116388786,news,6
9000,True,17,1.0,hello,15,14.0,127.0.0.1,32,hybrid,94058295-3043-41f0-882c-b9d7d69a3ddc,736,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N50_seed103,103,50,8.0,1772116416550,news,6
9000,True,18,1.0,hello,15,14.0,127.0.0.1,32,hybrid,2628a63e-0163-4a82-a464-7a3c411366f3,720,50,15.0,5.0,0,2.0,,scripts/out/20260226_175133/mode_hybrid/N50_seed104,104,50,8.0,1772116444262,news,6
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,push,3e436b49-97a3-413a-b8a3-abb253d119f8,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N10_seed100,100,10,8.0,1772115716549,news,6
9000,True,7,1.0,hello,15,14.0,127.0.0.1,32,push,36430621-7049-40c6-b2cf-19938c4fb664,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N10_seed101,101,10,8.0,1772115739630,news,6
9000,True,1,1.0,hello,15,14.0,127.0.0.1,32,push,79a76894-b103-44c5-8097-f58281aa9a08,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N10_seed102,102,10,8.0,1772115762699,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,push,42f9c77c-0530-4377-9228-dcbb77332ab2,78,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N10_seed103,103,10,8.0,1772115785846,news,6
9000,True,4,1.0,hello,15,14.0,127.0.0.1,32,push,08e5111c-46b8-414c-b285-5281b3da9bc7,81,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N10_seed104,104,10,8.0,1772115808946,news,6
9000,True,6,1.0,hello,15,14.0,127.0.0.1,32,push,196db8b9-30d4-4f0b-965d-d103a993c6b4,270,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N20_seed100,100,20,8.0,1772115833196,news,6
9000,True,5,1.0,hello,15,14.0,127.0.0.1,32,push,27a8f622-2ab7-4d2c-a755-916ce708c4e9,292,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N20_seed101,101,20,8.0,1772115857468,news,6
9000,True,7,1.0,hello,15,14.0,127.0.0.1,32,push,c8be4140-ba7d-4834-add3-5b4ffc417f65,268,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N20_seed102,102,20,8.0,1772115881753,news,6
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,push,2418f0fe-9fd1-4bdd-9160-cb21799f8c28,256,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N20_seed103,103,20,8.0,1772115906010,news,6
9000,True,7,1.0,hello,15,14.0,127.0.0.1,32,push,f1ca8dce-a763-4529-8bc3-846f0a5d8e17,253,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N20_seed104,104,20,8.0,1772115930298,news,6
9000,True,19,1.0,hello,15,14.0,127.0.0.1,32,push,82b387dc-19f3-4a05-8028-d63a60aa85f8,743,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N50_seed100,100,50,8.0,1772115958056,news,6
9000,True,19,1.0,hello,15,14.0,127.0.0.1,32,push,4de21446-9421-47a8-88a7-d638b7d576e9,699,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N50_seed101,101,50,8.0,1772115985766,news,6
9000,True,16,1.0,hello,15,14.0,127.0.0.1,32,push,4b25c1a6-c9ce-42db-9ad5-23b19ef4ef60,729,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N50_seed102,102,50,8.0,1772116013485,news,6
9000,True,14,1.0,hello,15,14.0,127.0.0.1,32,push,f04af5a8-c323-41b2-8d19-7e68d0d366bc,692,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N50_seed103,103,50,8.0,1772116041198,news,6
9000,True,9,1.0,hello,15,14.0,127.0.0.1,32,push,d55d7ef0-4eb1-4a53-a25b-042002763a21,736,50,15.0,5.0,0,0.0,,scripts/out/20260226_175133/mode_push/N50_seed104,104,50,8.0,1772116068899,news,6
